name,rating,review_count,price,latitude,longitude,stars,michelin,latBin,lonBin
Chez TJ,4,735,4,37.39468,-122.08044,1,1,37.2,-122.2
Protégé,4.5,348,4,37.427853,-122.14362,1,1,37.4,-122.2
Madera,3.5,886,3,37.42014,-122.21151,1,1,37.4,-122.4
The Village Pub,4,1088,4,37.42897,-122.25178,1,1,37.4,-122.4
Plumed Horse,4,1244,4,37.25648,-122.03537,1,1,37.2,-122.2
Wakuriya,4.5,535,4,37.52114,-122.3366,1,1,37.4,-122.4
Sushi Yoshizumi,4.5,318,4,37.565075,-122.3211,1,1,37.4,-122.4
Maum,4.5,63,4,37.72669,-122.414215,1,1,37.6,-122.60000000000001
Aster,4,384,4,37.755054,-122.423134,1,1,37.6,-122.60000000000001
Omakase,4.5,552,4,37.77077,-122.40298,1,1,37.6,-122.60000000000001
Commonwealth,4,1048,4,37.761395,-122.41946,1,1,37.6,-122.60000000000001
Luce,4,771,3,37.78194,-122.40498,1,1,37.6,-122.60000000000001
Birdsong,4.5,326,4,37.779495,-122.41048,1,1,37.6,-122.60000000000001
In Situ,3.5,497,3,37.785633,-122.40113,1,1,37.6,-122.60000000000001
Hashiri,4.5,120,4,37.783062,-122.40754,1,1,37.6,-122.60000000000001
Angler,3.5,409,4,37.793167,-122.39213,1,1,37.6,-122.4
Rich Table,4,1358,3,37.774914,-122.42271,1,1,37.6,-122.60000000000001
Kin Khao,4,2136,2,37.785267,-122.40951,1,1,37.6,-122.60000000000001
Kin Khao,4,2136,2,37.785267,-122.40951,1,1,37.6,-122.60000000000001
Sons & Daughters,4,721,4,37.79037,-122.40917,1,1,37.6,-122.60000000000001
Mister Jiu's,3.5,839,4,37.79371,-122.406654,1,1,37.6,-122.60000000000001
jū-ni,4.5,438,4,37.77672,-122.43886,1,1,37.6,-122.60000000000001
The Progress,4,930,4,37.78371,-122.43282,1,1,37.6,-122.60000000000001
State Bird Provisions,4,2904,3,37.783737,-122.43283,1,1,37.6,-122.60000000000001
Octavia,4,614,3,37.787857,-122.42709,1,1,37.6,-122.60000000000001
SPQR,3.5,2013,3,37.78732,-122.43375,1,1,37.6,-122.60000000000001
Kinjo,4,137,4,37.79699,-122.422005,1,1,37.6,-122.60000000000001
Sorrel,4,284,4,37.788334,-122.44614,1,1,37.6,-122.60000000000001
Gary Danko,4.5,5598,4,37.80599,-122.42066,1,1,37.800000000000004,-122.60000000000001
Bar Crenn,4,99,4,37.798435,-122.43581,1,1,37.6,-122.60000000000001
Spruce,4,2054,4,37.78772,-122.45264,1,1,37.6,-122.60000000000001
Madcap,4.5,311,4,37.974712,-122.56168,1,1,37.800000000000004,-122.60000000000001
Aubergine,4,260,4,36.55406,-121.924355,1,1,36.4,-122.0
La Toque,3.5,675,4,38.30351,-122.28349,1,1,38.2,-122.4
Bouchon,4,3178,3,38.40258,-122.3619,1,1,38.400000000000006,-122.4
Auberge du Soleil,4.5,389,4,38.49199,-122.40534,1,1,38.400000000000006,-122.60000000000001
Madrona Manor,4.5,282,4,38.60428,-122.88647,1,1,38.6,-123.0
Shin Sushi,4.5,120,4,34.15784,-118.49415,1,1,34.0,-118.60000000000001
Rustic Canyon,4,1374,3,34.024952,-118.49118,1,1,34.0,-118.60000000000001
Kato,4.5,383,4,34.041683,-118.460915,1,1,34.0,-118.60000000000001
Nozawa Bar,4.5,241,4,34.0683,-118.39849,1,1,34.0,-118.4
Maude,4,441,4,34.064346,-118.39904,1,1,34.0,-118.4
Mori Sushi,4,334,4,34.033398,-118.44229,1,1,34.0,-118.60000000000001
Osteria Mozza,4,2975,4,34.08342,-118.338974,1,1,34.0,-118.4
Le Comptoir,4,158,4,34.06354,-118.30057,1,1,34.0,-118.4
Q Sushi,4,249,4,34.046883,-118.255844,1,1,34.0,-118.4
Shibumi,3.5,366,4,34.044155,-118.256134,1,1,34.0,-118.4
Hayato,4.5,105,4,34.03311,-118.24265,1,1,34.0,-118.4
Bistro Na's,4,1128,2,34.104412,-118.07159,1,1,34.0,-118.2
Orsa & Winston,4,535,4,33.92145,-118.275406,1,1,33.800000000000004,-118.4
Addison,4.5,478,4,32.939903,-117.20013,1,1,32.800000000000004,-117.4
Baumé,3.5,342,4,37.4285,-122.14272,2,1,37.4,-122.2
Commis,4.5,1059,4,37.82476,-122.25505,2,1,37.800000000000004,-122.4
Californios,4.5,326,4,37.75555,-122.417145,2,1,37.6,-122.60000000000001
Lazy Bear,4.5,693,4,37.760204,-122.41969,2,1,37.6,-122.60000000000001
Saison,4,570,4,37.76327,-122.41543,2,1,37.6,-122.60000000000001
Campton Place,4,738,4,37.78923,-122.40665,2,1,37.6,-122.60000000000001
Coi,4,783,4,37.79812,-122.40331,2,1,37.6,-122.60000000000001
Acquerello,4.5,1168,4,37.79167,-122.42131,2,1,37.6,-122.60000000000001
Providence,4.5,2766,4,34.083523,-118.33019,2,1,34.0,-118.4
n/naka,4.5,844,4,34.02526,-118.41206,2,1,34.0,-118.60000000000001
Vespertine,4.5,303,4,34.024204,-118.38166,2,1,34.0,-118.4
Manresa,4,1259,4,37.22761,-121.98071,3,1,37.2,-122.0
Benu,4.5,1110,4,37.78521,-122.39876,3,1,37.6,-122.4
Quince,4,1521,4,37.79762,-122.40337,3,1,37.6,-122.60000000000001
Atelier Crenn,4.5,787,4,37.79835,-122.43586,3,1,37.6,-122.60000000000001
The French Laundry,4.5,2751,4,38.40443,-122.36474,3,1,38.400000000000006,-122.4
Parachute,4,652,3,41.94483,-87.70638,1,1,41.800000000000004,-87.80000000000001
Goosefoot,4.5,312,4,41.96856,-87.69596,1,1,41.800000000000004,-87.80000000000001
Elizabeth,4,205,4,41.969555,-87.688736,1,1,41.800000000000004,-87.80000000000001
EL Ideas,4.5,344,4,41.863,-87.68686,1,1,41.800000000000004,-87.80000000000001
Band of Bohemia,4,572,3,41.967308,-87.67477,1,1,41.800000000000004,-87.80000000000001
Schwa,4,559,4,41.90888,-87.66792,1,1,41.800000000000004,-87.80000000000001
Temporis,4.5,118,4,41.898907,-87.66725,1,1,41.800000000000004,-87.80000000000001
Entente,4,166,3,41.93721,-87.6652,1,1,41.800000000000004,-87.80000000000001
Elske,4,208,4,41.884426,-87.66071,1,1,41.800000000000004,-87.80000000000001
Dusek's (Board & Beer),4,966,2,41.857853,-87.65757,1,1,41.800000000000004,-87.80000000000001
Roister,4,802,4,41.886658,-87.65187,1,1,41.800000000000004,-87.80000000000001
Boka,4.5,1542,4,41.91363,-87.64806,1,1,41.800000000000004,-87.80000000000001
Blackbird,4,1556,3,41.88423,-87.64356,1,1,41.800000000000004,-87.80000000000001
Sepia,4,1175,4,41.88394,-87.64247,1,1,41.800000000000004,-87.80000000000001
North Pond,4,596,4,41.9296,-87.63762,1,1,41.800000000000004,-87.80000000000001
Everest,3.5,387,4,41.87597,-87.63212,1,1,41.800000000000004,-87.80000000000001
Topolobampo,3.5,1024,4,41.89047,-87.63085,1,1,41.800000000000004,-87.80000000000001
Spiaggia,4,589,4,41.90062,-87.62457,1,1,41.800000000000004,-87.80000000000001
Del Posto,4,1439,4,40.74327,-74.0077,1,1,40.6,-74.2
Le Grill de Joël Robuchon,4,36,4,40.742897,-74.0077,1,1,40.6,-74.2
L'Appart,5,121,4,40.711903,-74.01544,1,1,40.6,-74.2
Okuda,5,43,4,40.743793,-74.00633,1,1,40.6,-74.2
Wallsé,4,329,3,40.73538,-74.00814,1,1,40.6,-74.2
Jeju Noodle Bar,4.5,733,2,40.732952,-74.00744,1,1,40.6,-74.2
Sushi Nakazawa,4.5,1544,4,40.731716,-74.00451,1,1,40.6,-74.2
Kosaka,4.5,182,4,40.738316,-74.00137,1,1,40.6,-74.2
Bâtard,4,446,4,40.719616,-74.00589,1,1,40.6,-74.2
Hirohisa,4.5,175,4,40.72452,-74.003006,1,1,40.6,-74.2
Blue Hill,4.5,1025,4,40.7321,-73.9996,1,1,40.6,-74.0
ZZ's Clam Bar,4,100,4,40.727646,-74.00046,1,1,40.6,-74.2
Babbo,4,2482,4,40.73233,-73.99916,1,1,40.6,-74.0
Carbone,4,1347,4,40.727966,-74.00017,1,1,40.6,-74.2
Le Coucou,4,589 ,4,40.719162,-74.00001,1,1,40.6,-74.2
Aldea,4,604,3,40.73885,-73.99366,1,1,40.6,-74.0
Cote,4,1269,4,40.73778,-73.99375,1,1,40.6,-74.0
Bouley at Home,4,135,4,40.74114,-73.99242,1,1,40.6,-74.0
Gotham Bar and Grill,4,1618,4,40.73417,-73.99379,1,1,40.6,-74.0
Nix,4,548,2,40.733166,-73.993515,1,1,40.6,-74.0
Junoon,3.5,1567,3,40.74325,-73.99077,1,1,40.6,-74.0
NoMad,4,1492,3,40.74497,-73.98883,1,1,40.6,-74.0
The Musket Room,4,532,4,40.723915,-73.99375,1,1,40.6,-74.0
Uncle Boons,4,1009,3,40.721203,-73.99441,1,1,40.6,-74.0
Noda,4.5,52,4,40.74497,-73.988075,1,1,40.6,-74.0
Gramercy Tavern,4.5,3060,4,40.73849,-73.98868,1,1,40.6,-74.0
The Clocktower,4,391,3,40.7414,-73.987595,1,1,40.6,-74.0
Ai Fiori,4,1349,4,40.75013,-73.98357,1,1,40.6,-74.0
Casa Mono,3.5,1312,3,40.73595,-73.98706,1,1,40.6,-74.0
Jewel Bako,3.5,538,4,40.72713,-73.98928,1,1,40.6,-74.0
The River Café,4,1189,4,40.703613,-73.994774,1,1,40.6,-74.0
Bar Uchū,4.5,86,4,40.72191,-73.99003,1,1,40.6,-74.0
