name,rating,review_count,price,categories,city,state,zip_code,latitude,longitude,address,url
Thursday Kitchen,4.5,1537,$$,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",New York,NY,10009,40.72761,-73.98373,"424 E 9th St New York, NY 10009",https://www.yelp.com/biz/thursday-kitchen-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Joe's Shanghai,4.0,6637,$$,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'noodles', 'title': 'Noodles'}]",New York,NY,10013,40.7156608,-73.9967012,"46 Bowery St New York, NY 10013",https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
LoveMama,4.5,5809,$$,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",New York,NY,10003,40.730408722512074,-73.98612673033213,"174 2nd Ave New York, NY 10003",https://www.yelp.com/biz/lovemama-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Rubirosa,4.5,2579,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",New York,NY,10012,40.722766,-73.996233,"235 Mulberry St New York, NY 10012",https://www.yelp.com/biz/rubirosa-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Da Andrea,4.5,1159,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}]",New York,NY,10011,40.736218,-73.99597,"35 W 13th St New York, NY 10011",https://www.yelp.com/biz/da-andrea-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The Cabin NYC,4.0,402,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",New York,NY,10009,40.72393,-73.98383,"205 E 4th St New York, NY 10009",https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Gelso & Grand,4.5,1179,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pastashops', 'title': 'Pasta Shops'}, {'alias': 'pizza', 'title': 'Pizza'}]",New York,NY,10013,40.7194089547259,-73.9973777877722,"186 Grand St New York, NY 10013",https://www.yelp.com/biz/gelso-and-grand-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Anytime,4.5,1928,$$,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'burgers', 'title': 'Burgers'}]",New York,NY,10001,40.74776270790539,-73.9867793576711,"23 W 32nd St Fl 3 New York, NY 10001",https://www.yelp.com/biz/anytime-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The Wild Son Lunch Counter,4.5,548,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",New York,NY,10009,40.72737,-73.98525,"130 First Ave New York, NY 10009",https://www.yelp.com/biz/the-wild-son-lunch-counter-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Jane Restaurant,4.0,3315,$$,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]",New York,NY,10012,40.7273779,-74.00025,"100 W Houston St New York, NY 10012",https://www.yelp.com/biz/jane-restaurant-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Sunday in Brooklyn,4.0,1033,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Brooklyn,NY,11249,40.714181240175115,-73.96532809508915,"348 Wythe Ave Brooklyn, NY 11249",https://www.yelp.com/biz/sunday-in-brooklyn-brooklyn-6?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Salt + Charcoal,4.0,628,$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",Brooklyn,NY,11249,40.71453,-73.9613511,"171 Grand St Brooklyn, NY 11249",https://www.yelp.com/biz/salt-charcoal-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Raku,4.5,1289,$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",New York,NY,10003,40.7264988089246,-73.9866526052356,"342 E 6th St New York, NY 10003",https://www.yelp.com/biz/raku-new-york-7?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
AlMar,4.0,466,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Brooklyn,NY,11201,40.702662,-73.989177,"111 Front St Brooklyn, NY 11201",https://www.yelp.com/biz/almar-brooklyn-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Sweet Chick,4.0,1771,$$,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]",New York,NY,10002,40.7217399,-73.98739,"178 Ludlow St New York, NY 10002",https://www.yelp.com/biz/sweet-chick-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Amélie,4.5,2778,$$$,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",New York,NY,10011,40.7327,-73.99766,"22 W 8th St New York, NY 10011",https://www.yelp.com/biz/am%C3%A9lie-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Benemon,4.5,642,$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'bars', 'title': 'Bars'}]",New York,NY,10003,40.72551,-73.98838,"108 E 4th St New York, NY 10003",https://www.yelp.com/biz/benemon-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Crab House All You Can Eat Seafood,4.5,327,$$$$,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",New York,NY,10022,40.759664,-73.969776,"135 E 55th St New York, NY 10022",https://www.yelp.com/biz/crab-house-all-you-can-eat-seafood-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Olio e Più,4.5,3116,$$,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",New York,NY,10014,40.733798036104304,-73.99977392649927,"3 Greenwich Ave New York, NY 10014",https://www.yelp.com/biz/olio-e-pi%C3%B9-new-york-7?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Cafe Mogador,4.5,1255,$$,"[{'alias': 'moroccan', 'title': 'Moroccan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Brooklyn,NY,11211,40.719747,-73.959993,"133 Wythe Ave Brooklyn, NY 11211",https://www.yelp.com/biz/cafe-mogador-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
RH Rooftop Restaurant New York,4.0,547,$$$,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",New York,NY,10014,40.73985,-74.00639,"9 9th Ave New York, NY 10014",https://www.yelp.com/biz/rh-rooftop-restaurant-new-york-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
